,Task ID,Stop Epoch,Total Epoch,auc,acc,mcc,sp,sn
0,1,42,976,0.8764367699623108,0.7372881174087524,0.5038363933563232,0.5833333134651184,0.8965517282485962
1,4,24,984,0.847953200340271,0.7027027010917664,0.4564481675624848,0.9473684430122375,0.4444444477558136
2,6,36,992,0.8045763969421387,0.7682926654815674,0.5207811594009399,0.795918345451355,0.7272727489471436
3,8,3,1000,0.6624149680137634,0.6701030731201172,0.3637975752353668,0.4791666567325592,0.8571428656578064
4,11,36,1000,0.8641182780265808,0.8000000119209291,0.6110824346542358,0.734375,0.875
5,19,11,1000,0.7321937084197998,0.7250000238418579,0.36107587814331055,0.5384615659713745,0.8148148059844971
6,0,42,329,0.9140572547912598,0.8603603839874268,0.7098717093467712,0.8222222328186035,0.8863636255264282
7,2,41,332,0.8968695402145386,0.8321678042411804,0.6540771722793579,0.7520661354064941,0.8909090757369995
8,10,15,335,0.9826281070709229,0.9608695507049559,0.9183756113052368,0.957446813583374,0.966292142868042
9,15,21,338,0.8721137046813965,0.9064626097679138,0.2832305133342743,0.925399661064148,0.479999989271164
10,20,59,341,0.8512735366821289,0.8492907881736755,0.4992310106754303,0.8805031180381775,0.6781609058380127
11,23,47,344,0.9445504546165466,0.8969594836235046,0.6470290422439575,0.916167676448822,0.791208803653717
12,12,20,213,0.9177787899971008,0.8873668313026428,0.5384136438369751,0.9120689630508424,0.701298713684082
13,13,50,214,0.8846681714057922,0.957848846912384,0.5604984164237976,0.9639097452163696,0.782608687877655
14,17,46,216,0.8316528797149658,0.9090909361839294,0.4993647336959839,0.9563636183738708,0.5151515007019043
15,18,57,218,0.9067879915237428,0.9304084777832032,0.4542479515075684,0.9330217838287354,0.8421052694320679
16,22,26,219,0.9005522131919861,0.9126983880996704,0.465496152639389,0.9243697524070741,0.7142857313156128
17,24,23,221,0.8784493207931519,0.8323699235916138,0.3497699499130249,0.8405572772026062,0.717391312122345
18,3,49,125,0.917594075202942,0.8390166759490967,0.6782878637313843,0.8276374340057373,0.8520408272743225
19,5,41,126,0.904892921447754,0.8334707617759705,0.6533306241035461,0.8187422752380371,0.8631840944290161
20,7,27,127,0.9051517844200134,0.8165584206581116,0.6244316101074219,0.8296399116516113,0.7980391979217529
21,9,55,128,0.9666320085525512,0.9094827771186828,0.8189959526062012,0.9051724076271056,0.9137930870056152
22,14,14,129,0.9290109872817992,0.9848484992980956,0.7544412016868591,0.9985714554786682,0.6153846383094788
23,16,8,130,0.9305480122566224,0.8858773112297058,0.39857932925224304,0.8922155499458313,0.7575757503509521
24,21,43,131,0.8663780689239502,0.9540389776229858,0.5030068159103394,0.9639249444007874,0.6800000071525574
